matrix_id,group,name,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard,theta_fit
6,HB,arc130,0,130,TorusMDS,1.4142,,,2304.0,tolerance,0.0017,0.3801663389632864,0.4210476283822243,0.2996659141026391,0.0024923780241097,0.9252069110472462,4.548958,results/suitesparse_normalized_TorusMDS_comparison.csv,
8,HB,ash292,1,292,TorusMDS,1.7925,,,3840.0,tolerance,0.0059,0.0661911371446641,0.1068531847294023,0.0554026543420213,0.99196794434404,0.8929234376734372,33.909129,results/suitesparse_normalized_TorusMDS_comparison.csv,
15,HB,bcspwr03,2,118,TorusMDS,1.1924,,,2560.0,tolerance,0.0011,0.1513609293580258,0.2079962002611267,0.1269948597977509,0.9489441130649872,0.5703422507444249,22.342197,results/suitesparse_normalized_TorusMDS_comparison.csv,
16,HB,bcspwr04,3,274,TorusMDS,1.3469,,,2944.0,tolerance,0.0054,0.1631258201686553,0.2213268441464812,0.1375802432095711,0.9419234560340674,0.5429390784653942,27.388497,results/suitesparse_normalized_TorusMDS_comparison.csv,
26,HB,bcsstk04,4,132,TorusMDS,1.3444,,,3072.0,tolerance,0.0027,0.2333769060311673,0.3162798567165575,0.1865420461358574,0.8259763621124929,0.944805395377084,18.375604,results/suitesparse_normalized_TorusMDS_comparison.csv,
27,HB,bcsstk05,5,153,TorusMDS,0.9739,,,2304.0,tolerance,0.0021,0.1153751461678706,0.236666169753695,0.0934806944252391,0.9606118049430026,0.7749401091397901,17.487873,results/suitesparse_normalized_TorusMDS_comparison.csv,
28,HB,bcsstk06,6,420,TorusMDS,1.0663,,,2304.0,tolerance,0.0162,0.1177558251330645,0.1926426894096878,0.1031158580442233,0.9653278848838592,0.7798127185963706,22.620111,results/suitesparse_normalized_TorusMDS_comparison.csv,
29,HB,bcsstk07,7,420,TorusMDS,1.0657,,,2304.0,tolerance,0.0162,0.1177558251330645,0.1926426894096878,0.1031158580442233,0.9653278848838592,0.7798127185963706,22.620111,results/suitesparse_normalized_TorusMDS_comparison.csv,
44,HB,bcsstk22,8,110,TorusMDS,1.6567,,,3712.0,tolerance,0.0009,0.1415056492207881,0.1666151439881288,0.1117057116436723,0.9537691252406272,0.796062034370858,18.974098,results/suitesparse_normalized_TorusMDS_comparison.csv,
62,HB,bcsstm07,9,420,TorusMDS,1.0497,,,2304.0,tolerance,0.0152,0.2123553358050372,0.3503583155309924,0.1658628801651241,0.8962125728005097,0.6722834027201369,15.720544,results/suitesparse_normalized_TorusMDS_comparison.csv,
93,HB,can_144,10,144,TorusMDS,1.6553,,,3840.0,tolerance,0.0012,0.3046808284890701,0.3465705017175093,0.2845974885751692,0.6560097269737659,1.0,17.206579,results/suitesparse_normalized_TorusMDS_comparison.csv,
94,HB,can_161,11,161,TorusMDS,0.982,,,2304.0,tolerance,0.0018,0.1478104474285344,0.185191896079591,0.1190783254273274,0.926131023994098,0.818121981217956,13.745233,results/suitesparse_normalized_TorusMDS_comparison.csv,
95,HB,can_187,12,187,TorusMDS,2.7159,,,6144.0,tolerance,0.0019,0.0571706272122512,0.0917461976558506,0.0420117380708911,0.993008046411811,0.8808090912355614,22.296308,results/suitesparse_normalized_TorusMDS_comparison.csv,
96,HB,can_229,13,229,TorusMDS,1.0436,,,2304.0,tolerance,0.0036,0.1708951094716429,0.2341679356938063,0.133351629755709,0.9177034418742248,0.6161169159358016,15.136828,results/suitesparse_normalized_TorusMDS_comparison.csv,
98,HB,can_256,14,256,TorusMDS,1.1712,,,2560.0,tolerance,0.0059,0.2294663593068539,0.270530649480345,0.1873632984757757,0.8046549842492052,0.7211889850466149,8.232055,results/suitesparse_normalized_TorusMDS_comparison.csv,
99,HB,can_268,15,268,TorusMDS,1.2202,,,2688.0,tolerance,0.0061,0.2095064099299318,0.2624474604296664,0.1684541444661634,0.8142124100544268,0.6925120264451397,8.482353,results/suitesparse_normalized_TorusMDS_comparison.csv,
100,HB,can_292,16,292,TorusMDS,1.06,,,2304.0,tolerance,0.0065,0.1551849817107089,0.2258390355910821,0.1293015087272287,0.9439319109938517,0.623580146655149,18.699197,results/suitesparse_normalized_TorusMDS_comparison.csv,
113,HB,dwt_162,17,162,TorusMDS,1.372,,,3200.0,tolerance,0.0016,0.1453819468540422,0.1464370992690676,0.096523713059194,0.96659005616582,0.8555806693306687,23.586809,results/suitesparse_normalized_TorusMDS_comparison.csv,
